obs_id,site_code,site,site_type,date,buddy,family,species,sci_name,bites_total,HC,MAC,TUR,cots_mean_ha_sc,bite_substrate,bites_sub,substrate,avail_pct,bites_other,avail_pct_sc
17,SI,Shark Island,Control,2025-10-14,B,Parrotfish,Blue-barred,Scarus ghobban,23,63.616640884020676,1.6019423666019266,19.065015169036347,-0.9859705505268697,macro_algal_bites,0,MAC,1.6019423666019266,23,-1.2192505094382002
17,SI,Shark Island,Control,2025-10-14,B,Parrotfish,Blue-barred,Scarus ghobban,23,63.616640884020676,1.6019423666019266,19.065015169036347,-0.9859705505268697,turf_filamentous_algal_bites,23,TUR,19.065015169036347,0,-0.31266965225518567
18,SI,Shark Island,Control,2025-10-14,B,Parrotfish,Blue-barred,Scarus ghobban,60,63.616640884020676,1.6019423666019266,19.065015169036347,-0.9859705505268697,live_coral_bites,5,HC,63.616640884020676,55,2.000190832639366
18,SI,Shark Island,Control,2025-10-14,B,Parrotfish,Blue-barred,Scarus ghobban,60,63.616640884020676,1.6019423666019266,19.065015169036347,-0.9859705505268697,macro_algal_bites,1,MAC,1.6019423666019266,59,-1.2192505094382002
18,SI,Shark Island,Control,2025-10-14,B,Parrotfish,Blue-barred,Scarus ghobban,60,63.616640884020676,1.6019423666019266,19.065015169036347,-0.9859705505268697,turf_filamentous_algal_bites,52,TUR,19.065015169036347,8,-0.31266965225518567
19,SI,Shark Island,Control,2025-09-24,A,Rabbitfish,Virgate,Siganus virgatus,41,63.616640884020676,1.6019423666019266,19.065015169036347,-0.9859705505268697,live_coral_bites,2,HC,63.616640884020676,39,2.000190832639366
19,SI,Shark Island,Control,2025-09-24,A,Rabbitfish,Virgate,Siganus virgatus,41,63.616640884020676,1.6019423666019266,19.065015169036347,-0.9859705505268697,macro_algal_bites,1,MAC,1.6019423666019266,40,-1.2192505094382002
19,SI,Shark Island,Control,2025-09-24,A,Rabbitfish,Virgate,Siganus virgatus,41,63.616640884020676,1.6019423666019266,19.065015169036347,-0.9859705505268697,turf_filamentous_algal_bites,37,TUR,19.065015169036347,4,-0.31266965225518567
20,SI,Shark Island,Control,2025-10-02,A,Rabbitfish,Virgate,Siganus virgatus,81,63.616640884020676,1.6019423666019266,19.065015169036347,-0.9859705505268697,live_coral_bites,0,HC,63.616640884020676,81,2.000190832639366
20,SI,Shark Island,Control,2025-10-02,A,Rabbitfish,Virgate,Siganus virgatus,81,63.616640884020676,1.6019423666019266,19.065015169036347,-0.9859705505268697,macro_algal_bites,0,MAC,1.6019423666019266,81,-1.2192505094382002
20,SI,Shark Island,Control,2025-10-02,A,Rabbitfish,Virgate,Siganus virgatus,81,63.616640884020676,1.6019423666019266,19.065015169036347,-0.9859705505268697,turf_filamentous_algal_bites,61,TUR,19.065015169036347,20,-0.31266965225518567
21,SI,Shark Island,Control,2025-10-02,A,Rabbitfish,Virgate,Siganus virgatus,87,63.616640884020676,1.6019423666019266,19.065015169036347,-0.9859705505268697,live_coral_bites,1,HC,63.616640884020676,86,2.000190832639366
21,SI,Shark Island,Control,2025-10-02,A,Rabbitfish,Virgate,Siganus virgatus,87,63.616640884020676,1.6019423666019266,19.065015169036347,-0.9859705505268697,macro_algal_bites,0,MAC,1.6019423666019266,87,-1.2192505094382002
21,SI,Shark Island,Control,2025-10-02,A,Rabbitfish,Virgate,Siganus virgatus,87,63.616640884020676,1.6019423666019266,19.065015169036347,-0.9859705505268697,turf_filamentous_algal_bites,84,TUR,19.065015169036347,3,-0.31266965225518567
22,SI,Shark Island,Control,2025-10-02,A,Rabbitfish,Virgate,Siganus virgatus,67,63.616640884020676,1.6019423666019266,19.065015169036347,-0.9859705505268697,live_coral_bites,2,HC,63.616640884020676,65,2.000190832639366
22,SI,Shark Island,Control,2025-10-02,A,Rabbitfish,Virgate,Siganus virgatus,67,63.616640884020676,1.6019423666019266,19.065015169036347,-0.9859705505268697,macro_algal_bites,1,MAC,1.6019423666019266,66,-1.2192505094382002
22,SI,Shark Island,Control,2025-10-02,A,Rabbitfish,Virgate,Siganus virgatus,67,63.616640884020676,1.6019423666019266,19.065015169036347,-0.9859705505268697,turf_filamentous_algal_bites,61,TUR,19.065015169036347,6,-0.31266965225518567
23,SI,Shark Island,Control,2025-10-14,A,Rabbitfish,Virgate,Siganus virgatus,68,63.616640884020676,1.6019423666019266,19.065015169036347,-0.9859705505268697,live_coral_bites,0,HC,63.616640884020676,68,2.000190832639366
23,SI,Shark Island,Control,2025-10-14,A,Rabbitfish,Virgate,Siganus virgatus,68,63.616640884020676,1.6019423666019266,19.065015169036347,-0.9859705505268697,macro_algal_bites,13,MAC,1.6019423666019266,55,-1.2192505094382002
23,SI,Shark Island,Control,2025-10-14,A,Rabbitfish,Virgate,Siganus virgatus,68,63.616640884020676,1.6019423666019266,19.065015169036347,-0.9859705505268697,turf_filamentous_algal_bites,55,TUR,19.065015169036347,13,-0.31266965225518567
24,SI,Shark Island,Control,2025-10-14,A,Rabbitfish,Virgate,Siganus virgatus,20,63.616640884020676,1.6019423666019266,19.065015169036347,-0.9859705505268697,live_coral_bites,0,HC,63.616640884020676,20,2.000190832639366
24,SI,Shark Island,Control,2025-10-14,A,Rabbitfish,Virgate,Siganus virgatus,20,63.616640884020676,1.6019423666019266,19.065015169036347,-0.9859705505268697,macro_algal_bites,4,MAC,1.6019423666019266,16,-1.2192505094382002
24,SI,Shark Island,Control,2025-10-14,A,Rabbitfish,Virgate,Siganus virgatus,20,63.616640884020676,1.6019423666019266,19.065015169036347,-0.9859705505268697,turf_filamentous_algal_bites,16,TUR,19.065015169036347,4,-0.31266965225518567
